,,,,,,,,,,,,,Evidence of Tumor,,,Harvested,,,,,,,,,,,,,,,,For Survival Curves (highlighted grey if it should be excluded),,,"Tumor Classifications (1=yes, 0=no)",,,,,,,,,,Behavioral Conditions,,,Other Conditions,,,
exclude,Mouse ID (greyed out if it will be excluded from results),Shorthand Strain Name,Strain,Tyr-Cre status confirmed,Injected With,Injected By (highlighted green for variable I'm testing for),Number of Cells injected,Volume Injected (highlighted green for variable I'm testing for),Gender,TVA Status,Birth Date,Injection Date,Domed Head or Observable Tumor Date,Behavior Date,death_date,Brain_harvested,Other Organs_harvested,Behavior and Necropsy Notes,Fixed Tissue Still In Ethanol,highlighted blue,Brain Submission Date for Embedding and H&E (highlighted blue if block is useful as a control or otherwise includes a large tumor),Tumor or Other Tissue Submitted for Embedding and H&E either with the brain or separate,Brain H&E and IHC Notes,Sheri Has Seen H&E,Any hard proof of any kind of abnormal mass or enlargement after necropsy or brain H&E?,Full Slide Scan of H&E on External HD,Ki67 Result,Full Slide Scan of Ki67 on External HD,pERK Result (only listed if it was done),Full Slide Scan of pERK on External HD,Unstained Slides Available,Death Age or Current Age for Survival Curve,"Overall Survival: 1 if there was any evidence of tumor (visible, before necropsy or after IHC, behavior change or unexplained death), 0 if not","Tumor Free Survival: 1 only if there was any abnormal mass or enlargement visible upon necropsy or H&E, 0 if mouse survived to 150 days and had no tumor, exclude if death was early and no hard proof of tumor","Glioma Free Survival: 1 if a glioma (inside brain or infiltrating the brain, verified by Ki67), 0 if no observable glioma is present, exclude if H&E wasn't done or mouse was sacked before 150 days for whatever reason","Cranial Nerve Tumor? (Anything in the cranial cavity, but not necessarily infiltrating or inside the brain, most likely located under the brain)",Intracranial (glioma or outside of brain and still in skull) (Combo of previous 2),Head Tumor (outside of and connected to skull),"Lymph Node Tumor (wasn't always looking for, but noticed when they were big)",Lower Spinal Cord Tumor (unfortunatly didn't start looking for this until later),Eye Tumor (where it was clear it was the optical nerve and or involving the eye),"Auditory nerve? (Not connected to skull like head tumors, but on head and connected to skin sort of)",Cutaneous (skin somewhere on body),Rib Cage?,Lethargic/difficulty breathing/looked sick,Puffy/Full of Gas,Paralysis (from starting to drag hind legs to full on immobility),Hydrocephalus,Non tumor related reason for death,Nothing Abnormal,Found Dead
,25596-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,12/9/2020,12/10/2020,,,5/10/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,152,0,0,,,,,,,,,,,,,,,,1,
,25597-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,12/9/2020,12/10/2020,,,5/10/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,152,0,0,,,,,,,,,,,,,,,,1,
,25598-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,12/9/2020,12/10/2020,1/27/2021,,2/3/2021,yes,no,Brain was completely hollow and swelled full of thick clear liquid and blood. No sign of tumor,,,2/23/2021,no,"no glioma observable, but tissue was all tore up due to hydrocephalus",yes,no,,,,,,,56,1,0,,,,,,,,,,,,,,1,,,
,25687-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,2x105,2uL,Female,TVA+,12/19/2020,12/22/2020,,,5/20/2021,yes,no,"no abnormalities upon necropsy, sacked for experimental endpoint",,,5/28/2021,no,no glioma observable,yes,no,,,,,,,152,0,0,0,,,,,,,,,,,,,,,1,
,25688-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,2x105,2uL,Female,TVA+,12/19/2020,12/22/2020,5/19/2021,,5/20/2021,yes,head tumor,"tumor on top of head first observed on 5/19/21, sacked 5/20/21 for experimental endpoint, everything else looks normal upon necropsy, froze part of head tumor and made cell line with it.",,,5/28/2021,no,no glioma observable,yes,yes,,,,,,,152,1,1,0,,,1,,,,,,,,,,,,,
,25689-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,2x105,2uL,Female,TVA+,12/19/2020,12/22/2020,,2/9/2021,2/10/2021,yes,no,"Animal was paralyzed. Brain looked normal, no tumor noted anywhere on body/spinal cord. ",,,2/23/2021,no,no glioma observable,yes,no,,,,,,,53,1,0,0,,,,,,,,,,,,1,,,,
,25690-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Zia,2x105,2uL,Male,TVA+,12/19/2020,12/22/2020,,4/7/2021,4/13/2021,yes,no,"mouse is showing signs of partial paralysis on 4/7. Head is tilted to one side, but still able to move around. Could have gone longer, but no sense risking mouse dying on own. Necropsy showed bulge in left top of skull, under the left side of brain looked to be a glioma, attached a little to the base of the cranial cavity and partially attached to the brain, sort of mushy, cut some off to freeze and make cell line from as well as fixed the rest with the brain",,,4/19/2021,no,"high grade glioma on center and back sections, possibly left side of mouse, Ki67 positivity extends into the brain, pERK slide was scrapped off a bit, but primarily positive along the edge and not extending into the brain, PTEN is lower in the tumor not extending into the brain and darker on side edge",yes,yes,yes,positive,yes,positive,yes,2,115,1,1,1,,1,,,,,,,,,,1,,,,
,25691-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,2x105,2uL,Male,TVA+,12/19/2020,12/22/2020,,4/7/2021,4/7/2021,yes,no,"hind legs were paralyzed, back was hunched as a sign mouse was dehydrating and falling ill",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,109,1,0,0,,,,,,,,,,1,,1,,,,
,25692-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,2x105,2uL,Male,TVA+,12/19/2020,12/22/2020,,,4/12/2021,yes,two tumors,"passed Friday health check, but found dead on Mon. After necropsy, a tumor was visable around right ear (T1) connected to the skull and separate from the skin. A second tumor is seen lower on the neck (T2) it is smaller. Tumors were fixed, brain was fixed too but mushy since this mouse was found dead.",both tumors,,4/19/2021,no,looks like a tumor is partially attached to the brain,yes,yes,yes,,,,,,114,1,1,0,,,1,,,,,1,,,,,,,,1
,25693-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,2x105,2uL,Male,TVA+,12/19/2020,12/22/2020,,3/22/2021,3/22/2021,yes,no,"rear legs appeared to be partially paralyzed, so it had to be euthanized since it would starve/dehydrate. No sign of tumor along spinal cord, but a cranial nerve looked enlarged, unfortunatly it was not fixed.",,,3/26/2021,no,no glioma observable,yes,yes,,,,,,,93,1,1,0,1,1,,,,,,,,,,1,,,,
,25694-30,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Zia,2x105,2uL,Male,TVA+,12/19/2020,12/22/2020,,4/7/2021,4/9/2021,yes,mushy mass under the brain,"mouse was loosing mobility in hind legs and I didn't want to chance it over the weekend. I noticed a mass of tissue under the brain, not sure if it was an enlarged cranial nerve or that ""necrotic"" tissue Zia noticed before. Growing that tissue as a cell line, but too small for fixing it or freezing it as well",,,4/19/2021,no,"glioma is at the base of the brain in the center section as well as in the center of the brain near the split, Ki67 and pERK are slightly more prevelant in tumor areas, PTEN doesn't look any different than normal tissue",yes,yes,yes,positive,yes,positive,yes,1,111,1,1,1,1,1,,,,,,,,,,1,,,,
,25695-11,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,2x105,2uL,Male,TVA+,12/19/2020,12/22/2020,,3/15/2021,3/29/2021,yes,spinal cord tumor,"found dead on a Monday, so could have died earlier, tumor found just off the lower spine above the tail",tumor,,4/8/2021,no,no glioma observable,yes,yes,,,,,,,100,1,1,0,,,,,1,,,,,,,,,,,1
,25741-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,12/26/2020,12/28/2020,,5/21/2021,5/21/2021,yes,cranial nerve tumor,"mouse looked like it was becoming emanciated and starting to have a hunched back, upon necropsy, there was a cranial nerve tumor somewhat attched to the base of the cranial cavity, and not as attached to the brain. A part of the tumor was fixed with the brain, while another part was frozen and used for a cell line.",,,5/28/2021,no,"large high grade glioma on the back section of the brain toward the mouse's right side, some pallisading necrosis and vasculature, Ki67 is more positive towards the brain side and more negative towards the edge, pERK is positive throughout excluding the necrotic spots, PTEN is off in the tumor except for vasculature, but PTEN is also not very strong in the rest of the brain",yes,yes,yes,positive,yes,positive,yes,1,146,1,1,1,1,1,,,,,,,,1,,,,,,
,25742-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,12/26/2020,12/28/2020,,4/5/2021,4/5/2021,yes,mass connected to cranial nerve,"partially paralyzed, small mass could be part of cerebellum or could be a tumor, only did FFPE with it",cranial nerve tumor,,4/8/2021,no,no glioma observable,yes,yes,,,,,,,100,1,1,0,1,1,,,,,,,,,,1,,,,
,25743-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/26/2020,12/28/2020,2/11/2021,,3/17/2021,yes,head tumor,Sacked for tumor size. Massive tumor encasing head. Brain unremovable. Froze portion of tumor and started cell line with it.,,,3/26/2021,head tumor,"no glioma observable, but head tumor is there and Sheri says it looks like melanomas do",yes,yes,,,,,,,81,1,1,0,,,1,,,,,,,,,,,,,
,25744-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/26/2020,12/28/2020,,3/26/2021,3/26/2021,yes,no,"hind legs were showing reduced mobility, and I didn't want to leave it to get worse over the weekend",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,90,1,0,0,,,,,,,,,,,,1,,,,
,25745-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/26/2020,12/28/2020,,4/12/2021,4/12/2021,yes,spinal cord tumor and maybe a tiny head tumor,"only partially paralyzed, but looked very emanciated, so had to sack, small white spot on top center of skull (T1), not sure if that is anything, but fixed it anyway. Tumor was visible around the base of the spine, cross section of the spine was fixed (with bone), and piece of tumor was made into a cell line.",head tumor with attached piece of skull,,4/19/2021,no,no glioma observable,yes,yes,,,,,,,107,1,1,0,,,1,,1,,,,,1,,1,,,,
,25746-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/26/2020,12/28/2020,,3/3/2021,3/3/2021,yes,no,"Animal was paralyzed. Brain looked normal, no tumor noted anywhere on body/spinal cord. ",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,67,1,0,0,,,,,,,,,,,,1,,,,
,25747-30,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/26/2020,12/28/2020,,4/12/2021,4/15/2021,yes,no,"loosing mobility in hind legs 4/12, not fully paralyzed, but looking worse, with urine stains on fur, upon necropsy - normal looking brain, no spine tumors, enlarged bladder, possibly suffering from some infection or blockage",,,4/19/2021,no,no glioma observable,yes,no,,,,,,,110,1,0,0,,,,,,,,,,,,1,,,,
,25748-11,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/26/2020,12/28/2020,,5/10/2021,5/10/2021,yes,no,"breathing heavy, hind legs paralyzed, no observable tumor",,,5/12/2021,no,no glioma observable,yes,no,,,,,,,135,1,0,0,,,,,,,,,,1,,1,,,,
,25763-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Female,TVA+,12/28/2020,12/28/2020,,,3/14/2021,no,no,"Animal Found dead, unable to necropsy",,,,,,,,,,,,,,76,0,0,,,,,,,,,,,,,,,,,1
,25764-30,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/28/2020,12/28/2020,,3/31/2021,4/2/2021,yes,cranial nerve tumor,"mouse was becoming lethargic and developing a hunched back, wanted to sack before the weekend, cranial nerves under the base of the brain were enlarged and both fixed and used for a cell line. No tumor was frozen.",cranial nerve tumor,,4/8/2021,no,no glioma observable,yes,yes,,,,,,,95,1,1,0,1,1,,,,,,,,1,,,,,,
,25765-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/28/2020,12/28/2020,,3/24/2021,3/24/2021,yes,no,"back legs were partially paralyzed, everything else looked normal",,,3/26/2021,no,no glioma observable,yes,no,,,,,,,86,1,0,0,,,,,,,,,,,,1,,,,
,25766-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/28/2020,12/28/2020,1/29/2021,3/3/2021,3/3/2021,yes,no,Brain was completely hollow and filled with liquid. Mouse sacked due to paralysis,,,3/26/2021,no,"no glioma observable, brain looks like it was hollow",yes,no,,,,,,,65,1,0,0,,,,,,,,,,,,1,1,,,
,25767-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Zia,5x105,5uL,Male,TVA+,12/28/2020,12/28/2020,,3/17/2021,3/17/2021,yes,no,"Mouse was paralyzed and sacked, brain looked nromal. No tumor found",,,3/26/2021,no,"large glioma on the bottom side of the center section and back section (probably right side of the brain), neurons are visible within the tumor, Ki67 is higher in some areas, but not that high and they correlate with pERK, PTEN is still expressed in most of the tumor but there are some patterns that don't look like a staining artifact",yes,yes,yes,positive,yes,positive,yes,0,79,1,1,1,,1,,,,,,,,,,1,,,,
,25782-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,12/29/2020,12/30/2020,,,5/28/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25783-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Female,TVA+,12/29/2020,12/30/2020,,,5/28/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25784-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,12/29/2020,12/30/2020,,,5/28/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25785-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,12/29/2020,12/30/2020,,,5/28/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25786-11,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,12/29/2020,12/30/2020,1/26/2021,,1/27/2021,yes,no,"very bloody head, brain was very soft, but still intact",,,3/26/2021,no,"no glioma observable, brain looks like it was from a dead mouse, lots of blood vessels visible",yes,no,,,,,,,29,1,0,,,,,,,,,,,,,,,,,1
,25787-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,12/29/2020,12/30/2020,,,5/28/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,25788-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,Rcas Cre,Rick,5x105,5uL,Male,TVA+,12/29/2020,12/30/2020,,,5/28/2021,yes,no,experimental endpoint,brain,,,no,,,no,,,,,,,150,0,0,,,,,,,,,,,,,,,,1,
,26007-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,1/20/2021,1/22/2021,,4/13/2021,4/13/2021,yes,spinal cord tumor,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)",tumor,,4/19/2021,no,no glioma observable,yes,yes,,,,,,,83,1,1,0,,,,,1,,,,,,,1,,,,
,26008-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,1/20/2021,1/22/2021,,6/8/2021,6/8/2021,yes,no,"R eye partially closed, and starting to loose mobility in hind legs",,,7/2/2021,no,no glioma,yes,no,,,,,,,139,1,0,0,,,,,,,,,,,,1,,,,
,26009-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,1/20/2021,1/22/2021,3/15/2021,,3/30/2021,yes,head tumor,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.",extra head tumor,,4/8/2021,no,no glioma observable,yes,yes,,,,,,,69,1,1,0,,,1,,,,,,,,,,,,,
,26010-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,1/20/2021,1/22/2021,,4/13/2021,4/13/2021,yes,spinal cord tumor,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)",section of spine with tumor,,4/19/2021,no,no glioma observable,yes,yes,,,,,,,83,1,1,0,,,,,1,,,,,,,1,,,,
,26011-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,1/20/2021,1/22/2021,3/15/2021,,3/26/2021,yes,head tumor,"froze part of head tumor, trypsinized part for cell line, and FFPE it. Brain itself also FFPE. Found a tiny white mass between the tumor and brain, that sort of indented the top left of the brain and defored the skull, unsure if it was attached to the main tumor or how the skull was involved since I had to cut open the skull to retreive the brain.",extra head tumor,,4/8/2021,no,no glioma observable,yes,yes,,,,,,,65,1,1,0,,,1,,,,,,,,,,,,,
,26012-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,1/20/2021,1/22/2021,,4/30/2021,4/30/2021,yes,no,"partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal",,,5/3/2021,no,"small low grade glioma towards the lower side of the front section, rosette pattern, not much Ki67, pERK negative, PTEN has a weird staining artifact",yes,yes,yes,positive,yes,negative,yes,0,100,1,1,1,,1,,,,,,,,,,1,,,,
,26013-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,1/20/2021,1/22/2021,,4/12/2021,4/13/2021,yes,no,"showing partial paralysis on 4/12, decided to sack next day to avoid risk of finding dead, little nub in front of brain, not sure if anything though, normal looking everywhere else including spine.",,,4/19/2021,no,no glioma observable,yes,no,,,,,,,83,1,0,0,,,,,,,,,,,,1,,,,
,26014-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,1/20/2021,1/22/2021,,4/12/2021,4/12/2021,yes,spinal cord tumor,"severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed.",,,4/19/2021,no,no glioma observable,yes,yes,,,,,,,82,1,1,0,,,,,1,,,,,,,1,,,,
,26022-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,1/20/2021,1/22/2021,3/15/2021,,4/1/2021,yes,head tumor,"mouse seamed healthy, but head tumor was becoming larger than 2cm in diameter. There was a small ball of tissue in front of the brain, so not sure if it will be included in the slide, but unsure what it is.",head tumor,,4/8/2021,no,no glioma observable,yes,yes,,,,,,,71,1,1,0,,,1,,,,,,,,,,,,,
,26023-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,1/20/2021,1/22/2021,4/23/2021,,5/10/2021,yes,head tumor,"bump on head noticed 4/23/21, sacked when it was big enough to harvest for a cell line, fix, and freeze",head tumor,,5/12/2021,no,no glioma observable,yes,yes,,,,,,,110,1,1,0,,,1,,,,,,,,,,,,,
,26024-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,1/20/2021,1/22/2021,2/22/2021,,3/17/2021,yes,head tumor,Massive tumor encasing head. Brain unremovable. ,,,3/26/2021,head tumor,"no glioma observable, but head tumor is there, Sheri says the head tumors look similar to melanomas",yes,yes,,,,,,,56,1,1,0,,,1,,,,,,,,,,,,,
,26037-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,1/24/2021,1/26/2021,3/18/2021,,4/1/2021,yes,head tumor,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.",head tumor,,4/8/2021,no,no glioma observable,yes,yes,,,,,,,67,1,1,0,,,1,,,,,,,,,,,,,
,26038-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,1/24/2021,1/26/2021,,4/13/2021,4/13/2021,yes,head tumor,"tiny mass on top of skull, could see some tissue is on opposite side (inside) of skull as well, fixed entire piece of skull with that possible beginning of a tumor, will need to decalify if submitting to histology",head tumor with piece of skull connected,,4/19/2021,no,no glioma observable,yes,no,,,,,,,79,1,0,0,,,1,,,,,,,,,,,,,
,26039-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,1/24/2021,1/26/2021,,4/2/2021,4/5/2021,yes,no,"losing mobility in hind legs, fully paralyzed when it was sacked",,,4/8/2021,no,no glioma observable,yes,no,,,,,,,71,1,0,0,,,,,,,,,,,,1,,,,
,26040-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,1/24/2021,1/26/2021,,4/16/2021,4/22/2021,yes,no,"looks like it is getting sick, eyes not open all the way, found dead 4/22, no sign of tumor upon necropsy",,,5/3/2021,no,"no glioma observable, but you can tell it was found dead",yes,no,,,,,,,88,1,0,0,,,,,,,,,,1,,,,,,1
,26061-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,2x105,2ul,Female,TVA+,1/24/2021,1/26/2021,,5/5/2021,5/5/2021,yes,no,"lossing mobility, everything looked normal upon necropsy",,,5/12/2021,no,"no glioma observable, but you can tell it was found dead",yes,no,,,,,,,101,1,0,0,,,,,,,,,,,,1,,,,
,26062-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,2x105,2ul,Female,TVA+,1/24/2021,1/26/2021,4/23/2021,,4/26/2021,yes,no,"tumor on shoulder noticed 4/23/21, found dead, brain was sort of mush, tumors also noticed on shoulder and lower spinal cord.",,,5/3/2021,no,"no glioma observable, but you can tell it was found dead",yes,yes,,,,,,,92,1,1,0,,,,,1,,,1,,,,,,,,1
,26063-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,2x105,2ul,Female,TVA+,1/24/2021,1/26/2021,,4/26/2021,4/26/2021,yes,no,"dragging legs 4/26/21, no other sign of tumor",,,5/3/2021,no,no glioma observable,yes,no,,,,,,,92,1,0,0,,,,,,,,,,,,1,,,,
